method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.0948292910034069,0.9196779568787312,0.9200779727095516,50,16.0,1,2,sqrt,1e-05,50,16.0,16,22046,440.92
grid,1,0.0908901669899933,0.9196779568787312,0.9200779727095516,50,16.0,1,2,sqrt,0.0,50,16.0,16,23428,468.56
grid,1,0.1871887919987784,0.9196260481572588,0.9200779727095516,133,,1,2,log2,1e-05,133,24.458646616541355,32,84985,638.984962406015
grid,1,0.1997738329955609,0.9196260481572588,0.9200779727095516,133,,1,2,log2,0.0001,133,24.458646616541355,32,84985,638.984962406015
grid,1,0.1877295000012964,0.9196260481572588,0.9200779727095516,133,,1,2,log2,0.0,133,24.51127819548872,32,90365,679.4360902255639
grid,1,0.2771879170031752,0.919601330274752,0.9200779727095516,50,,1,2,0.5,1e-05,50,31.64,38,18226,364.52
grid,1,0.2679589170002145,0.919601330274752,0.9200779727095516,50,,1,2,0.5,0.0001,50,31.64,38,18226,364.52
grid,1,0.2954038330062758,0.919601330274752,0.9200779727095516,50,,1,2,0.5,0.0,50,31.74,38,19456,389.12
grid,1,0.1853058340057032,0.9193860375756596,0.9200779727095516,133,20.0,1,2,log2,0.0001,133,19.887218045112785,20,80959,608.7142857142857
grid,1,0.1884601249912521,0.9193860375756596,0.9200779727095516,133,20.0,1,2,log2,1e-05,133,19.887218045112785,20,80981,608.8796992481203
grid,1,0.188417458004551,0.9193860375756596,0.9200779727095516,133,20.0,1,2,log2,0.0,133,19.894736842105264,20,85965,646.3533834586466
grid,1,0.0936510419996921,0.919340005736174,0.9200779727095516,50,16.0,1,5,sqrt,0.0001,50,16.0,16,16840,336.8
grid,1,0.0943778750079218,0.919340005736174,0.9200779727095516,50,16.0,1,5,sqrt,1e-05,50,16.0,16,16876,337.52
grid,1,0.0983018330007325,0.919340005736174,0.9200779727095516,50,16.0,1,5,sqrt,0.0,50,16.0,16,17526,350.52
grid,1,0.2162636669963831,0.919185175966731,0.9200779727095516,133,16.0,1,2,sqrt,0.0001,133,16.0,16,59835,449.8872180451128
grid,1,0.2174932079942664,0.919185175966731,0.9200779727095516,133,16.0,1,2,sqrt,1e-05,133,16.0,16,59869,450.1428571428572
grid,1,0.2074168330000247,0.919185175966731,0.9200779727095516,133,16.0,1,2,sqrt,0.0,133,16.0,16,63573,477.9924812030075
grid,1,0.0961397080100141,0.9191691151483682,0.9200779727095516,50,20.0,1,2,sqrt,0.0001,50,19.96,20,25446,508.92
grid,1,0.0950695000065025,0.9191691151483682,0.9200779727095516,50,20.0,1,2,sqrt,1e-05,50,19.96,20,25448,508.96
grid,1,0.0963482079969253,0.9191691151483682,0.9200779727095516,50,20.0,1,2,sqrt,0.0,50,19.96,20,27102,542.04
grid,1,0.657276208003168,0.9189758562038136,0.9200779727095516,133,,1,2,0.5,1e-05,133,31.60902255639098,40,48533,364.90977443609023
grid,1,0.6635290419944795,0.9189758562038136,0.9200779727095516,133,,1,2,0.5,0.0001,133,31.60902255639098,40,48533,364.90977443609023
grid,1,0.6861999589891639,0.9189758562038136,0.9200779727095516,133,,1,2,0.5,0.0,133,31.68421052631579,40,51845,389.812030075188
grid,1,0.2176324159954674,0.918819332411286,0.9200779727095516,133,,1,7,sqrt,0.0001,133,23.360902255639097,34,47641,358.203007518797
