method,round,elapsed_seconds,val_macro_f1,val_accuracy,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,ccp_alpha,tree_count,avg_tree_depth,max_tree_depth,total_nodes,avg_nodes
grid,1,0.08198970800731331,0.9070066359941955,0.9083820662768031,50,16.0,1,7,log2,0.0001,50,16.0,16,17806,356.12
grid,1,0.08091533300466835,0.9070066359941955,0.9083820662768031,50,16.0,1,7,log2,1e-05,50,16.0,16,17934,358.68
grid,1,0.08110129198757932,0.9070066359941955,0.9083820662768031,50,16.0,1,7,log2,0.0,50,16.0,16,18488,369.76
grid,1,0.09232345799682662,0.9068395140992276,0.9083820662768031,50,12.0,1,2,sqrt,0.001,50,12.0,12,10200,204.0
grid,1,0.6159720409923466,0.9065273026399971,0.9064327485380117,133,16.0,1,10,0.5,0.0001,133,16.0,16,21401,160.90977443609023
grid,1,0.6133648749964777,0.9065273026399971,0.9064327485380117,133,16.0,1,10,0.5,1e-05,133,16.0,16,21419,161.04511278195488
grid,1,0.6118400409905007,0.9065273026399971,0.9064327485380117,133,16.0,1,10,0.5,0.0,133,16.0,16,22481,169.0300751879699
grid,1,0.27851245799683966,0.9065073367292407,0.9083820662768031,50,,1,2,0.5,0.001,50,27.72,34,11166,223.32
grid,1,0.09497008299513254,0.9064368837421772,0.9083820662768031,50,,1,2,sqrt,0.001,50,21.58,29,15098,301.96
grid,1,0.09709929200471379,0.9063846238521184,0.9083820662768031,50,16.0,1,10,sqrt,0.001,50,15.98,16,10914,218.28
grid,1,0.991849291996914,0.9059684659131583,0.9064327485380117,217,16.0,1,7,0.5,0.0001,217,16.0,16,38057,175.3778801843318
grid,1,1.0221215409983415,0.9059684659131583,0.9064327485380117,217,16.0,1,7,0.5,1e-05,217,16.0,16,38075,175.46082949308754
grid,1,0.9928886249981588,0.9059684659131583,0.9064327485380117,217,16.0,1,7,0.5,0.0,217,16.0,16,40039,184.5115207373272
grid,1,0.6554737090045819,0.9058019109284168,0.9083820662768031,133,,1,10,0.5,0.001,133,26.849624060150376,35,24577,184.78947368421052
